,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
242,Color,George Hickenlooper,117.0,108.0,60.0,168.0,Eric Schweig,18000.0,1039869.0,Biography|Comedy|Crime|Drama,Kevin Spacey,Casino Jack ,14757,18739,Christian Campbell,5.0,corruption|lobbyist|murder|washington d.c.|washington d.c. lobbyist,http://www.imdb.com/title/tt1194417/?ref_=fn_tt_tt_1,51.0,English,Canada,R,15000000.0,2010.0,322.0,6.2,2.35,0
243,Color,Brad Peyton,91.0,82.0,62.0,615.0,Sean Hayes,975.0,43575716.0,Action|Comedy|Family|Fantasy,Jack McBrayer,Cats & Dogs: The Revenge of Kitty Galore ,10233,3326,Katt Williams,0.0,cartoon on tv|cat|dog|kitty|special agent,http://www.imdb.com/title/tt1287468/?ref_=fn_tt_tt_1,63.0,English,USA,PG,85000000.0,2010.0,760.0,4.3,1.85,0
244,Color,Miguel Arteta,212.0,87.0,44.0,727.0,Stephen Root,1000.0,6857503.0,Comedy,Kurtwood Smith,Cedar Rapids ,32697,4769,Alia Shawkat,1.0,award|cedar rapids iowa|convention|hotel|insurance,http://www.imdb.com/title/tt1477837/?ref_=fn_tt_tt_1,85.0,English,USA,R,,2011.0,939.0,6.3,1.85,0
245,Color,Lee Toland Krieger,193.0,92.0,43.0,172.0,Janel Parrish,904.0,3094687.0,Comedy|Drama|Romance,Ari Graynor,Celeste & Jesse Forever ,24391,1751,Rob Huebel,2.0,best friends|friendship|masturbation|reference to matthias steiner|single,http://www.imdb.com/title/tt1405365/?ref_=fn_tt_tt_1,61.0,English,USA,R,,2012.0,517.0,6.7,2.35,0
246,Color,Mor Loushy,23.0,84.0,0.0,,,3.0,34151.0,Documentary|History,Amos Oz,Censored Voices ,186,3,,0.0,,http://www.imdb.com/title/tt3457376/?ref_=fn_tt_tt_1,3.0,Hebrew,Israel,,450000.0,2015.0,,7.2,1.78,111
247,Color,Rawson Marshall Thurber,177.0,107.0,43.0,569.0,Thomas Kretschmann,12000.0,126088877.0,Action|Comedy|Crime,Dwayne Johnson,Central Intelligence ,33354,14569,Megan Park,2.0,accountant|blooper|espionage|facebook|high school reunion,http://www.imdb.com/title/tt1489889/?ref_=fn_tt_tt_1,110.0,English,USA,PG-13,50000000.0,2016.0,919.0,6.6,2.35,10000
248,Color,Neil Marshall,195.0,97.0,197.0,570.0,JJ Feild,13000.0,122288.0,Action|Adventure|Drama|History|Thriller|War,Michael Fassbender,Centurion ,64777,15293,Dave Legeno,0.0,mushroom|mute|roman soldier|screaming|wood carving,http://www.imdb.com/title/tt1020558/?ref_=fn_tt_tt_1,201.0,English,UK,R,,2010.0,794.0,6.4,2.35,0
249,Color,Kevin Carraway,11.0,88.0,2.0,6.0,Max Ryan,2000.0,,Action|Thriller,Michael Jai White,Chain of Command ,801,2886,Jon Osbeck,3.0,army|michael jai white|ohio|steve austin,http://www.imdb.com/title/tt4340720/?ref_=fn_tt_tt_1,14.0,English,USA,R,5000000.0,2015.0,872.0,3.5,1.33,358
250,Color,Neill Blomkamp,371.0,120.0,662.0,502.0,Sharlto Copley,20000.0,31569268.0,Action|Crime|Drama|Sci-Fi|Thriller,Hugh Jackman,Chappie ,172965,23051,Jose Pablo Cantillo,0.0,artificial intelligence|consciousness|future|mind uploading|robot,http://www.imdb.com/title/tt1823672/?ref_=fn_tt_tt_1,627.0,English,USA,R,49000000.0,2015.0,2000.0,6.9,2.35,67000
251,Color,Burr Steers,117.0,99.0,23.0,135.0,Charlie Tahan,405.0,31136950.0,Drama|Fantasy|Romance,Augustus Prew,Charlie St. Cloud ,47364,1066,Valerie Tian,1.0,brother brother relationship|death of brother|ghost|seeing dead people|talking with the dead,http://www.imdb.com/title/tt1438254/?ref_=fn_tt_tt_1,75.0,English,USA,PG-13,44000000.0,2010.0,268.0,6.5,2.35,0
252,Color,Michael Apted,116.0,116.0,150.0,956.0,Abigail Spencer,18000.0,6002756.0,Biography|Drama|Sport,Gerard Butler,Chasing Mavericks ,24997,21200,Leven Rambin,2.0,box office flop|no opening credits|surfing|two word title|year 1987,http://www.imdb.com/title/tt1629757/?ref_=fn_tt_tt_1,75.0,English,USA,PG,20000000.0,2012.0,1000.0,7.2,1.85,13000
253,Color,E.L. Katz,193.0,88.0,3.0,307.0,Ethan Embry,3000.0,59379.0,Comedy|Crime|Drama|Horror|Thriller,Brighton Sharbino,Cheap Thrills ,12796,4729,Elissa Dowling,3.0,cocaine|extramarital affair|sex|shooting|violence,http://www.imdb.com/title/tt2389182/?ref_=fn_tt_tt_1,52.0,English,USA,Not Rated,200000.0,2013.0,982.0,6.8,2.35,0
254,Color,Timothy Woodward Jr.,6.0,97.0,764.0,492.0,Johnny Messner,835.0,,Action|Crime|Thriller,Katrina Law,Checkmate ,735,2882,Michael Paré,3.0,,http://www.imdb.com/title/tt3781616/?ref_=fn_tt_tt_1,18.0,English,USA,,1500000.0,2015.0,522.0,3.1,2.35,402
255,Color,Bradley Parker,270.0,86.0,18.0,300.0,Ingrid Bolsø Berdal,1000.0,18112929.0,Horror|Mystery|Sci-Fi|Thriller,Jesse McCartney,Chernobyl Diaries ,52642,2665,Jonathan Sadowski,0.0,abandoned building|chernobyl disaster|exploration|tour guide|van,http://www.imdb.com/title/tt1991245/?ref_=fn_tt_tt_1,271.0,English,USA,R,1000000.0,2012.0,466.0,5.0,1.85,24000
256,Color,Daniele Luchetti,4.0,98.0,6.0,50.0,Rodrigo De la Serna,61.0,,Biography,Maximilian Dirr,Chiamatemi Francesco - Il Papa della gente ,80,192,Ferdinando Vetere,0.0,,http://www.imdb.com/title/tt3856124/?ref_=fn_tt_tt_1,4.0,Spanish,Italy,,15000000.0,2015.0,57.0,5.7,,18
257,Color,Daniel Espinosa,172.0,137.0,79.0,194.0,Fares Fares,27000.0,1206135.0,Crime|Drama|Thriller,Tom Hardy,Child 44 ,40568,27666,Michael Nardone,3.0,child murderer|murder|sex|soviet union|woman slaps a man,http://www.imdb.com/title/tt1014763/?ref_=fn_tt_tt_1,185.0,English,Czech Republic,R,50000000.0,2015.0,254.0,6.4,2.35,18000
258,Color,Mitch Davis,6.0,95.0,7.0,541.0,Jon Heder,989.0,,Comedy,Gary Cole,Christmas Eve ,1091,3514,Cheryl Hines,7.0,,http://www.imdb.com/title/tt3703148/?ref_=fn_tt_tt_1,15.0,English,USA,PG,,2015.0,970.0,5.1,,0
259,Color,John Murlowski,2.0,89.0,20.0,555.0,Piper Mackenzie Harris,794.0,,Comedy|Drama|Family|Romance,Ashley Scott,Christmas Mail ,858,2579,Lochlyn Munro,2.0,boss|holiday|letter|north pole|santa,http://www.imdb.com/title/tt1663628/?ref_=fn_tt_tt_1,7.0,English,USA,TV-PG,2500000.0,2010.0,607.0,5.8,,190
260,Color,Josh Trank,414.0,89.0,128.0,371.0,Alex Russell,963.0,64572496.0,Drama|Sci-Fi|Thriller,Michael Kelly,Chronicle ,204327,2054,Ashley Hinshaw,0.0,found footage|high school|subjective camera|teen angst|troubled teen,http://www.imdb.com/title/tt1706593/?ref_=fn_tt_tt_1,471.0,English,USA,PG-13,12000000.0,2012.0,465.0,7.1,1.85,32000
261,Color,Rafa Lara,12.0,125.0,21.0,36.0,Andrés Montiel,78.0,169379.0,Drama|History|War,Jorge Luis Moreno,"Cinco de Mayo, La Batalla ",683,221,William Miller,1.0,,http://www.imdb.com/title/tt2553908/?ref_=fn_tt_tt_1,3.0,Spanish,Mexico,R,10000000.0,2013.0,61.0,6.2,,874
262,Color,Kenneth Branagh,343.0,105.0,0.0,502.0,Derek Jacobi,2000.0,201148159.0,Drama|Family|Fantasy|Romance,Hayley Atwell,Cinderella ,103737,4671,Lily James,1.0,dress|duke|fairy godmother|fairy tale|pumpkin,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,322.0,English,USA,PG,95000000.0,2015.0,520.0,7.0,2.35,56000
263,Color,Kenneth Branagh,343.0,105.0,0.0,502.0,Derek Jacobi,2000.0,201148159.0,Drama|Family|Fantasy|Romance,Hayley Atwell,Cinderella ,103749,4671,Lily James,1.0,dress|duke|fairy godmother|fairy tale|pumpkin,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,323.0,English,USA,PG,95000000.0,2015.0,520.0,7.0,2.35,56000
264,Color,Aaron Hann,29.0,87.0,0.0,94.0,Michael McLafferty,160.0,,Drama|Horror|Mystery|Sci-Fi|Thriller,Jordi Vilasuso,Circle ,13279,776,Kaiwi Lyman-Mersereau,0.0,alien abduction|debate|lesbian|pregnant|spaceship,http://www.imdb.com/title/tt3118452/?ref_=fn_tt_tt_1,59.0,English,USA,Not Rated,,2015.0,152.0,6.0,,0
265,Color,Maryam Keshavarz,76.0,107.0,32.0,127.0,Reza Sixo Safai,144.0,439958.0,Drama,Sarah Kazemy,Circumstance ,6277,509,Sina Amedson,1.0,closeted lesbian|iranian|islamophobia|propaganda|teenager,http://www.imdb.com/title/tt1684628/?ref_=fn_tt_tt_1,43.0,Persian,France,R,,2011.0,127.0,5.9,2.35,0
266,Color,Andrew Adamson,73.0,91.0,80.0,31.0,Erica Linz,473.0,12495865.0,Fantasy,Dallas Barnett,Cirque du Soleil: Worlds Away ,7100,539,Igor Zaripov,0.0,aerialist|circus|cirque du soleil|clown|surrealism,http://www.imdb.com/title/tt1792647/?ref_=fn_tt_tt_1,35.0,English,USA,PG,,2012.0,31.0,6.8,,0
267,Color,Louis Leterrier,344.0,106.0,255.0,850.0,Jason Flemyng,14000.0,163192114.0,Action|Adventure|Fantasy,Liam Neeson,Clash of the Titans ,229679,18003,Alexa Davalos,0.0,famous line|hand to hand combat|kraken|rape|zeus,http://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1,637.0,English,USA,PG-13,125000000.0,2010.0,1000.0,5.8,2.35,15000
268,Color,Louis Leterrier,344.0,106.0,255.0,850.0,Jason Flemyng,14000.0,163192114.0,Action|Adventure|Fantasy,Liam Neeson,Clash of the Titans ,229687,18003,Alexa Davalos,0.0,famous line|hand to hand combat|kraken|rape|zeus,http://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1,637.0,English,USA,PG-13,125000000.0,2010.0,1000.0,5.8,2.35,15000
269,Color,Isaac Florentine,28.0,80.0,81.0,214.0,Nick Chinlund,640.0,,Action|Crime,Anthony L. Fernandez,Close Range ,2425,1517,Scott Evans,1.0,corrupt sheriff|drug cartel|flash drive|niece|sheriff,http://www.imdb.com/title/tt3511596/?ref_=fn_tt_tt_1,31.0,English,USA,,3000000.0,2015.0,277.0,4.9,,968
270,Color,Nae Caranfil,18.0,112.0,34.0,71.0,Joe Armstrong,129.0,,Comedy|Drama,Monica Barladeanu,Closer to the Moon ,2841,588,Martin Hancock,2.0,,http://www.imdb.com/title/tt2017486/?ref_=fn_tt_tt_1,13.0,English,Romania,Not Rated,5000000.0,2014.0,98.0,7.1,2.35,0
271,Color,Tom Tykwer,511.0,172.0,670.0,1000.0,Jim Sturgess,15000.0,27098580.0,Drama|Sci-Fi,Tom Hanks,Cloud Atlas ,284825,22686,Jim Broadbent,5.0,composer|future|letter|nonlinear timeline|nursing home,http://www.imdb.com/title/tt1371111/?ref_=fn_tt_tt_1,828.0,English,Germany,R,102000000.0,2012.0,5000.0,7.5,2.35,124000
272,Color,Cody Cameron,169.0,95.0,18.0,18.0,Khamani Griffin,622.0,119793567.0,Animation|Comedy|Family|Fantasy|Sci-Fi,Will Forte,Cloudy with a Chance of Meatballs 2 ,64387,848,Melissa Sturm,0.0,food|inventor|island|orangutan|scientist,http://www.imdb.com/title/tt1985966/?ref_=fn_tt_tt_1,85.0,English,USA,PG,78000000.0,2013.0,161.0,6.5,2.35,15000
273,Color,Michael Winnick,15.0,106.0,155.0,391.0,Helena Mattsson,981.0,,Action,Scott Takeda,Code of Honor ,662,2741,Craig Sheffer,0.0,gun|mayor|nightclub|police|vigilantism,http://www.imdb.com/title/tt4060866/?ref_=fn_tt_tt_1,14.0,English,USA,R,8000000.0,2016.0,505.0,4.2,,689
274,Color,Brad Copeland,9.0,87.0,8.0,424.0,Ben Schwartz,34000.0,,Comedy,Sunil Narkar,Coffee Town ,4204,35796,Glenn Howerton,3.0,barista|coffee|coffee shop|fight|insult,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,19.0,English,USA,,2000000.0,2013.0,463.0,6.6,2.35,0
275,Color,Olivier Megaton,201.0,112.0,118.0,674.0,Callum Blue,877.0,36665854.0,Action|Crime|Drama|Thriller,Jordi Mollà,Colombiana ,76498,3432,Jesse Borrego,0.0,female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt,http://www.imdb.com/title/tt1657507/?ref_=fn_tt_tt_1,203.0,English,France,PG-13,40000000.0,2011.0,738.0,6.4,2.35,15000
276,Color,Yimou Zhang,85.0,109.0,611.0,4.0,Daoming Chen,878.0,377420.0,Drama,Li Gong,Coming Home ,2789,900,Ni Yan,1.0,amnesia|cultural revolution|husband wife relationship|memory|political prisoner,http://www.imdb.com/title/tt3125472/?ref_=fn_tt_tt_1,20.0,Mandarin,China,PG-13,,2014.0,10.0,7.3,2.35,0
277,Color,Enrique Begne,5.0,101.0,0.0,165.0,Héctor Jiménez,574.0,3105269.0,Action|Comedy,Kevin Pollak,Compadres ,368,1335,Erick Elias,2.0,,http://www.imdb.com/title/tt3367294/?ref_=fn_tt_tt_1,8.0,English,Mexico,R,3000000.0,2016.0,327.0,5.0,,174
278,Color,Craig Zobel,286.0,90.0,25.0,235.0,Matt Servitto,601.0,318622.0,Biography|Crime|Drama|Thriller,Dreama Walker,Compliance ,24668,1734,James McCaffrey,0.0,authority|boss subordinate relationship|fast food restaurant|gullibility|telephone call,http://www.imdb.com/title/tt1971352/?ref_=fn_tt_tt_1,175.0,English,USA,R,270000.0,2012.0,260.0,6.4,2.35,0
279,Color,Peter Landesman,219.0,123.0,15.0,745.0,Eddie Marsan,10000.0,34531832.0,Biography|Drama|Sport,Will Smith,Concussion ,44788,13371,Albert Brooks,0.0,chronic traumatic encephalopathy|concussion|football|football player|pathologist,http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1,138.0,English,UK,PG-13,35000000.0,2015.0,979.0,7.1,2.35,23000
281,Color,Steven Soderbergh,436.0,106.0,0.0,175.0,Monique Gabriela Curnen,13000.0,75638743.0,Drama|Thriller,Matt Damon,Contagion ,180479,13634,Griffin Kane,4.0,contagion|cure|infection|panic|virus,http://www.imdb.com/title/tt1598778/?ref_=fn_tt_tt_1,411.0,English,USA,PG-13,60000000.0,2011.0,240.0,6.6,1.85,42000
282,Color,Neil Mcenery-West,33.0,77.0,0.0,260.0,Michael Chapman,846.0,,Horror|Sci-Fi|Thriller,Walter Hendrix III,Containment ,1355,2044,Louise Brealey,0.0,hazmat suit,http://www.imdb.com/title/tt3561236/?ref_=fn_tt_tt_1,21.0,English,UK,,,2015.0,366.0,4.8,,275
283,Color,Baltasar Kormákur,270.0,109.0,175.0,733.0,David O'Hara,24000.0,66489425.0,Action|Crime|Drama|Thriller,J.K. Simmons,Contraband ,101977,26625,Lukas Haas,3.0,cocaine|contraband|drug lord|prison|smuggling,http://www.imdb.com/title/tt1524137/?ref_=fn_tt_tt_1,161.0,English,USA,R,25000000.0,2012.0,736.0,6.5,2.35,0
284,Color,Kevin Smith,203.0,107.0,0.0,574.0,Tracy Morgan,13000.0,44867349.0,Action|Comedy|Crime,Bruce Willis,Cop Out ,75347,14483,Kevin Pollak,2.0,baseball card|detective|partner|thief|wedding,http://www.imdb.com/title/tt1385867/?ref_=fn_tt_tt_1,176.0,English,USA,R,37000000.0,2010.0,642.0,5.6,2.35,0
285,Color,Ralph Fiennes,196.0,123.0,0.0,131.0,Ashraf Barhom,18000.0,756452.0,Drama|Thriller|War,Gerard Butler,Coriolanus ,27009,18652,Lubna Azabal,0.0,modern day adaptation|reference to william shakespeare|shakespeare in modern dress|shakespeare play|shakespeare's coriolanus,http://www.imdb.com/title/tt1372686/?ref_=fn_tt_tt_1,118.0,English,UK,R,,2011.0,451.0,6.2,2.35,12000
286,Color,Jem Cohen,12.0,111.0,6.0,,,,,Documentary,,Counting ,61,0,,0.0,city|city symphony|diary|essay|surveillance,http://www.imdb.com/title/tt4462082/?ref_=fn_tt_tt_1,1.0,English,USA,,50000.0,2015.0,,6.0,1.78,5
287,Color,Shana Feste,135.0,117.0,19.0,461.0,Cinda McCain,3000.0,20218921.0,Drama|Music,Leighton Meester,Country Strong ,14814,4204,Tim McGraw,4.0,country music|panties|pink panties|relapse|songwriter,http://www.imdb.com/title/tt1555064/?ref_=fn_tt_tt_1,114.0,English,Official site,PG-13,15000000.0,2010.0,646.0,6.3,2.35,0
288,Color,Angelo Pizzo,27.0,118.0,14.0,400.0,Finn Wittrock,2000.0,2246000.0,Biography|Drama|Sport,Donny Boaz,Courage ,2302,3384,Brent Anderson,4.0,coach|football|football movie|football team|high school sweethearts,http://www.imdb.com/title/tt3719896/?ref_=fn_tt_tt_1,20.0,English,USA,PG,20000000.0,2015.0,769.0,7.0,2.35,0
289,Color,Alex Kendrick,34.0,129.0,589.0,341.0,Alex Kendrick,690.0,34522221.0,Drama,Ben Davies,Courageous ,15401,2300,T.C. Stallings,7.0,faith|fatherhood|integrity|police|responsibility,http://www.imdb.com/title/tt1630036/?ref_=fn_tt_tt_1,175.0,English,USA,PG-13,2000000.0,2011.0,589.0,7.0,2.35,10000
290,Color,Glenn Ficarra,310.0,118.0,43.0,7000.0,Emma Stone,33000.0,84244877.0,Comedy|Drama|Romance,Ryan Gosling,"Crazy, Stupid, Love. ",375456,57426,Steve Carell,7.0,bar|divorce|friend|girl|male objectification,http://www.imdb.com/title/tt1570728/?ref_=fn_tt_tt_1,292.0,English,USA,PG-13,50000000.0,2011.0,15000.0,7.4,2.39,44000
291,Color,Benjamin Dickinson,36.0,97.0,4.0,150.0,Alexia Rasmussen,446.0,62480.0,Drama|Sci-Fi,Nora Zehetner,Creative Control ,1048,928,Meredith Hagner,1.0,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,http://www.imdb.com/title/tt3277624/?ref_=fn_tt_tt_1,7.0,English,USA,R,1000000.0,2015.0,171.0,5.5,2.39,793
293,Color,Ryan Coogler,437.0,133.0,0.0,531.0,Phylicia Rashad,13000.0,109712885.0,Drama|Sport,Sylvester Stallone,Creed ,146708,15106,Graham McTavish,1.0,boxing|boxing match|fight|montage|philadelphia,http://www.imdb.com/title/tt3076658/?ref_=fn_tt_tt_1,362.0,English,USA,PG-13,35000000.0,2015.0,597.0,7.7,2.35,70000
294,Color,Jackie Earle Haley,46.0,94.0,0.0,493.0,Edi Gathegi,15000.0,,Crime|Drama|Thriller,Rex Baker,Criminal Activities ,5255,17377,Travis Aaron Wade,3.0,african american gangster|falling to death|in over one's head|murder|surveillance,http://www.imdb.com/title/tt3687310/?ref_=fn_tt_tt_1,38.0,English,USA,,7000000.0,2015.0,725.0,5.8,2.35,0
295,Color,Ariel Vromen,130.0,113.0,34.0,24.0,Jordi Mollà,10000.0,14268533.0,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Gary Oldman,Criminal ,17319,10910,Doug Cockle,2.0,cia|husband wife relationship|memory|tied up while barefoot|violence,http://www.imdb.com/title/tt3014866/?ref_=fn_tt_tt_1,100.0,English,UK,R,31500000.0,2016.0,877.0,6.3,2.35,0
296,Color,Brenton Spencer,22.0,84.0,0.0,63.0,Victor Zinck Jr.,380.0,,Action|Horror|Mystery|Thriller,Christie Burke,Crowsnest ,1321,630,Chelsey Reist,0.0,forest|found footage|lost|murder|road trip,http://www.imdb.com/title/tt2180333/?ref_=fn_tt_tt_1,51.0,English,Canada,R,1200000.0,2012.0,91.0,3.8,,238
297,Color,Jay Duplass,223.0,91.0,157.0,224.0,Tim Guinee,490.0,7455447.0,Comedy|Drama|Romance,Matt Walsh,Cyrus ,29967,1136,Katie Aselton,2.0,21 year old|forename as title|musician|party|rearview mirror,http://www.imdb.com/title/tt1336617/?ref_=fn_tt_tt_1,126.0,English,USA,R,7000000.0,2010.0,259.0,6.3,1.85,0
298,Color,Spike Lee,46.0,123.0,0.0,161.0,Elvis Nolasco,3000.0,,Comedy|Romance|Thriller,Rami Malek,Da Sweet Blood of Jesus ,794,4040,Felicia Pearson,0.0,horror movie remake|remake|undead|undead sex|undead sexuality,http://www.imdb.com/title/tt3104930/?ref_=fn_tt_tt_1,9.0,English,USA,,1420000.0,2014.0,372.0,4.1,2.35,447
299,Color,Sean Anders,145.0,96.0,51.0,322.0,Linda Cardellini,8000.0,150315155.0,Comedy|Family,Will Ferrell,Daddy's Home ,54010,10886,Mark L. Young,2.0,biological father|dad|drinking|product placement|wilhelm scream,http://www.imdb.com/title/tt1528854/?ref_=fn_tt_tt_1,130.0,English,USA,PG-13,50000000.0,2015.0,2000.0,6.1,1.85,13000
300,Color,Jean-Marc Vallée,471.0,117.0,212.0,896.0,Jennifer Garner,11000.0,27296514.0,Biography|Drama,Matthew McConaughey,Dallas Buyers Club ,326494,17738,Denis O'Hare,0.0,drugs|fda|gay community|hiv|homophobia,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,340.0,English,USA,R,5000000.0,2013.0,3000.0,8.0,2.35,65000
301,Color,Whit Stillman,152.0,99.0,89.0,322.0,Megalyn Echikunwoke,962.0,1007535.0,Comedy|Drama|Romance,Greta Gerwig,Damsels in Distress ,7625,2452,Zach Woods,5.0,college|college campus|dance craze|depression|fraternity,http://www.imdb.com/title/tt1667307/?ref_=fn_tt_tt_1,54.0,English,USA,PG-13,,2011.0,476.0,5.7,1.85,0
302,Color,David Winters,3.0,89.0,49.0,84.0,Matt Marr,551.0,,Family|Musical,Gary Daniels,Dancin' It's On ,105,895,Ginger Jensen,6.0,,http://www.imdb.com/title/tt2598580/?ref_=fn_tt_tt_1,7.0,English,USA,PG,12000000.0,2015.0,85.0,2.8,,634
303,Color,Dan Fogelman,139.0,106.0,102.0,970.0,Jennifer Garner,14000.0,5348317.0,Comedy|Drama|Music,Al Pacino,Danny Collins ,20810,18712,Melissa Benoist,0.0,entertainer|inspiration|lost opportunity|pregnant mother|rock star,http://www.imdb.com/title/tt1772288/?ref_=fn_tt_tt_1,100.0,English,USA,R,10000000.0,2015.0,3000.0,7.1,,0
306,Color,Tim Burton,526.0,113.0,13000.0,16000.0,Chloë Grace Moretz,40000.0,79711678.0,Comedy|Fantasy|Horror,Johnny Depp,Dark Shadows ,199039,80849,Christopher Lee,7.0,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,479.0,English,USA,PG-13,100000000.0,2012.0,17000.0,6.2,1.85,82000
307,Color,Lawrence Kasdan,57.0,103.0,759.0,820.0,Mark Duplass,967.0,793352.0,Comedy|Drama|Romance,Dianne Wiest,Darling Companion ,2551,3878,Sam Shepard,1.0,dog|marriage|search|wedding|woods,http://www.imdb.com/title/tt1730687/?ref_=fn_tt_tt_1,25.0,English,USA,PG-13,,2012.0,830.0,5.1,2.35,0
308,Color,Shawn Levy,247.0,101.0,189.0,7000.0,James Franco,15000.0,98711404.0,Comedy|Crime|Romance|Thriller,Mila Kunis,Date Night ,127571,39822,Steve Carell,2.0,city|new york city|night|reservation|restaurant,http://www.imdb.com/title/tt1279935/?ref_=fn_tt_tt_1,207.0,English,USA,PG-13,55000000.0,2010.0,11000.0,6.3,2.35,0
309,Color,Kirk Loudon,3.0,95.0,0.0,279.0,Johnny Walter,883.0,,Drama|Sci-Fi|Thriller,Barry Corbin,Dawn of the Crescent Moon ,34,2618,Shiree Nelson,0.0,,http://www.imdb.com/title/tt3157318/?ref_=fn_tt_tt_1,2.0,English,USA,,75000.0,2014.0,507.0,5.0,,87
310,Color,Matt Reeves,521.0,130.0,198.0,884.0,Judy Greer,10000.0,208543795.0,Action|Adventure|Drama|Sci-Fi,Gary Oldman,Dawn of the Planet of the Apes ,317542,14363,Kodi Smit-McPhee,0.0,ape|dam|leader|post apocalypse|sequel,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620.0,English,USA,PG-13,170000000.0,2014.0,2000.0,7.6,1.85,45000
311,Color,Daniel Petrie Jr.,9.0,88.0,19.0,322.0,Jeff Fahey,795.0,,Drama|Thriller,Chris Brochu,Dawn Patrol ,455,2497,Rita Wilson,0.0,desert|held at gunpoint|marine|revenge|sex on table,http://www.imdb.com/title/tt2073661/?ref_=fn_tt_tt_1,13.0,English,,,3500000.0,2014.0,535.0,4.8,2.35,570
312,Color,Nathan Frankowski,17.0,102.0,19.0,80.0,Rus Blackwell,632.0,,Biography|Drama|Music,Corbin Bleu,Day One ,2116,1011,Luis Antonio,7.0,character name in title|depression|drugs|one word title,http://www.imdb.com/title/tt1850418/?ref_=fn_tt_tt_1,13.0,English,USA,PG-13,3400000.0,2012.0,144.0,6.6,,0
313,Color,Niels Arden Oplev,217.0,118.0,76.0,174.0,Isabelle Huppert,3000.0,10880926.0,Action|Crime|Drama|Thriller,Dominic Cooper,Dead Man Down ,54147,4253,James Biberi,2.0,crime lord|dead body|dead body in a freezer|new york city|truck explosion,http://www.imdb.com/title/tt2101341/?ref_=fn_tt_tt_1,127.0,English,USA,R,30000000.0,2013.0,678.0,6.5,2.35,0
314,Color,Stefan Ruzowitzky,162.0,95.0,24.0,874.0,Olivia Wilde,16000.0,65804.0,Crime|Drama|Thriller,Charlie Hunnam,Deadfall ,32512,27575,Sissy Spacek,1.0,police officer|police officer killed|police officer shot|sex scene,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,86.0,English,USA,R,12000000.0,2012.0,10000.0,6.3,2.35,0
316,Color,Tim Miller,579.0,108.0,84.0,361.0,Ed Skrein,16000.0,363024263.0,Action|Adventure|Comedy|Romance|Sci-Fi,Ryan Reynolds,Deadpool ,479047,18239,Stefan Kapicic,0.0,based on comic book|breaking the fourth wall|mercenary|mutant|self healing,http://www.imdb.com/title/tt1431045/?ref_=fn_tt_tt_1,1058.0,English,USA,R,58000000.0,2016.0,805.0,8.1,2.35,117000
317,,Lasse Hallström,162.0,108.0,529.0,690.0,Henry Thomas,17000.0,80014842.0,Drama|Romance|War,Channing Tatum,Dear John ,104356,19945,Scott Porter,,army|coin collector|love|surfboard|u.s. army,http://www.imdb.com/title/tt0989757/?ref_=fn_tt_tt_1,186.0,English,USA,PG-13,25000000.0,2010.0,861.0,6.3,2.35,14000
318,Color,Ken Del Conte,,90.0,2.0,99.0,Robert Miano,466.0,,Action|Adventure|Mystery|Romance|Thriller,Hector Echavarria,Death Calls ,30,842,Ron Roggé,2.0,murder|oppression|rebirth|reincarnation|revenge,http://www.imdb.com/title/tt1328873/?ref_=fn_tt_tt_1,,English,USA,R,290000.0,2010.0,216.0,4.3,1.85,16
319,Color,Molly Bernstein,39.0,88.0,0.0,49.0,Ricky Jay,342.0,151389.0,Documentary,David Mamet,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,774,483,Dick Cavett,0.0,stage magician,http://www.imdb.com/title/tt2654360/?ref_=fn_tt_tt_1,7.0,English,USA,,500000.0,2012.0,79.0,7.1,,590
